"State","Year","Total Children Under 18"
"Alabama","2019","1088727"
"Alaska","2019","180442"
"Arizona","2019","1641727"
"Arkansas","2019","701317"
"California","2019","8881104"
"Colorado","2019","1256673"
"Connecticut","2019","727280"
"Delaware","2019","204263"
"District of Columbia","2019","127952"
"Florida","2019","4233967"
"Georgia","2019","2505399"
"Hawaii","2019","299419"
"Idaho","2019","448116"
"Illinois","2019","2817312"
"Indiana","2019","1569375"
"Iowa","2019","728005"
"Kansas","2019","701453"
"Kentucky","2019","1004268"
"Louisiana","2019","1089906"
"Maine","2019","249610"
"Maryland","2019","1338232"
"Massachusetts","2019","1353615"
"Michigan","2019","2144307"
"Minnesota","2019","1303212"
"Mississippi","2019","699984"
"Missouri","2019","1374703"
"Montana","2019","228888"
"Nebraska","2019","476033"
"Nevada","2019","694730"
"New Hampshire","2019","255785"
"New Jersey","2019","1943575"
"New Mexico","2019","477209"
"New York","2019","4031894"
"North Carolina","2019","2304554"
"North Dakota","2019","180584"
"Ohio","2019","2581403"
"Oklahoma","2019","953923"
"Oregon","2019","864815"
"Pennsylvania","2019","2635819"
"Puerto Rico","2019","572801"
"Rhode Island","2019","203923"
"South Carolina","2019","1113673"
"South Dakota","2019","217817"
"Tennessee","2019","1510976"
"Texas","2019","7406777"
"Utah","2019","929940"
"Vermont","2019","114325"
"Virginia","2019","1868689"
"Washington","2019","1661024"
"West Virginia","2019","360439"
"Wisconsin","2019","1267935"
"Wyoming","2019","133577"
