"State","Year","Two or Fewer Placements (%)","Three or More Placements (%)","Missing Data (%)","Number in Care"
"Alabama","2017","76.9","21.7","1.4","4852"
"Alaska","2017","82.6","17.3","0.1","1556"
"Arizona","2017","82.5","13.1","4.4","11904"
"Arkansas","2017","74.1","25.9","0","4645"
"California","2017","87.9","12.1","0","32984"
"Colorado","2017","83.2","13","3.8","6198"
"Connecticut","2017","82","18","0","2213"
"Delaware","2017","85.3","14.7","0","525"
"District of Columbia","2017","84.6","14.9","0.6","363"
"Florida","2017","82.2","17.8","0","20764"
"Georgia","2017","81.5","18.3","0.2","8980"
"Hawaii","2017","89.4","7.1","3.4","1306"
"Idaho","2017","87.6","12.4","0","1452"
"Illinois","2017","76.9","22.9","0.1","5021"
"Indiana","2017","89.5","10.4","0","15553"
"Iowa","2017","90.1","9.9","0","4866"
"Kansas","2017","72.4","27.2","0.4","4715"
"Kentucky","2017","85.5","14.5","0.1","6985"
"Louisiana","2017","82.6","17.2","0.1","4077"
"Maine","2017","91","8.4","0.5","949"
"Maryland","2017","85.9","11.7","2.4","2695"
"Massachusetts","2017","68.5","31.3","0.2","7180"
"Michigan","2017","87.2","12.6","0.2","7758"
"Minnesota","2017","87.7","12.1","0.3","8675"
"Mississippi","2017","84.1","15.9","0","3789"
"Missouri","2017","80.2","19.8","0","7915"
"Montana","2017","86.2","13.8","0","2689"
"Nebraska","2017","89.8","9.7","0.5","3070"
"Nevada","2017","81.5","17.1","1.4","3844"
"New Hampshire","2017","84.5","15.5","0","1109"
"New Jersey","2017","87.3","12.7","0","4381"
"New Mexico","2017","84.4","15.6","0","2026"
"New York","2017","85","15","0","10708"
"North Carolina","2017","91","9","0","6784"
"North Dakota","2017","81.3","18.5","0.2","1249"
"Ohio","2017","89.2","10.7","0.1","14175"
"Oklahoma","2017","77.4","22.3","0.3","5813"
"Oregon","2017","82","17.8","0.3","4752"
"Pennsylvania","2017","87.1","12.9","0","12647"
"Puerto Rico","2017","NaN","NaN","NaN","NaN"
"Rhode Island","2017","88.9","11.1","0","1462"
"South Carolina","2017","82.4","17.5","0.1","4414"
"South Dakota","2017","83","17","0","1334"
"Tennessee","2017","67.9","31.8","0.2","7730"
"Texas","2017","83.5","16.5","0","23950"
"Utah","2017","78.3","20","1.7","2838"
"Vermont","2017","74.3","25.7","0","837"
"Virginia","2017","84.9","15","0.1","3190"
"Washington","2017","81.5","18.3","0.2","6398"
"West Virginia","2017","91","9","0","5947"
"Wisconsin","2017","87.8","12.2","0","5929"
"Wyoming","2017","93","7","0","1346"
