"State","Year","Number","Rate per 100,000"
"Alabama","2020","47","4.18"
"Alaska","2020","2","1.1"
"Arizona","2020","18","1.11"
"Arkansas","2020","30","4.26"
"California","2020","150","1.68"
"Colorado","2020","24","1.9"
"Connecticut","2020","9","1.22"
"Delaware","2020","5","2.4"
"District of Columbia","2020","4","3.15"
"Florida","2020","101","2.36"
"Georgia","2020","85","3.35"
"Hawaii","2020","0","0"
"Idaho","2020","10","2.16"
"Illinois","2020","102","3.57"
"Indiana","2020","56","3.51"
"Iowa","2020","9","1.21"
"Kansas","2020","10","1.41"
"Kentucky","2020","9","0.88"
"Louisiana","2020","18","1.64"
"Maine","2020","1","0.39"
"Maryland","2020","50","3.63"
"Massachusetts","2020","NaN","NaN"
"Michigan","2020","43","1.97"
"Minnesota","2020","21","1.58"
"Mississippi","2020","38","5.43"
"Missouri","2020","44","3.16"
"Montana","2020","5","2.14"
"Nebraska","2020","2","0.41"
"Nevada","2020","14","2"
"New Hampshire","2020","2","0.77"
"New Jersey","2020","17","0.83"
"New Mexico","2020","13","2.7"
"New York","2020","105","2.49"
"North Carolina","2020","23","1"
"North Dakota","2020","5","2.67"
"Ohio","2020","94","3.58"
"Oklahoma","2020","42","4.37"
"Oregon","2020","17","1.95"
"Pennsylvania","2020","67","2.48"
"Puerto Rico","2020","5","0.88"
"Rhode Island","2020","2","0.94"
"South Carolina","2020","36","3.23"
"South Dakota","2020","12","5.45"
"Tennessee","2020","34","2.21"
"Texas","2020","255","3.41"
"Utah","2020","6","0.63"
"Vermont","2020","0","0"
"Virginia","2020","39","2.05"
"Washington","2020","14","0.83"
"West Virginia","2020","12","3.31"
"Wisconsin","2020","32","2.48"
"Wyoming","2020","3","2.24"
