"State","Year","Monthly Caseworker Visits (MCVs) (%)","Number of Caseworker Visits","Number of Visit Months","Visits in Home (%)","Number of Home Visits","Number of Caseworker Visits"
"Alabama","2021","96","60858","63474","100","60653","60858"
"Alaska","2021","69","22724","32989","75","16954","22724"
"Arizona","2021","87","2561","2929","85","2173","2561"
"Arkansas","2021","84","42536","50732","93","39444","42536"
"California","2021","94","490671","523322","91","446504","490671"
"Colorado","2021","95","44460","47010","93","41391","44460"
"Connecticut","2021","97","36941","37938","97","35929","36941"
"Delaware","2021","94","4583","4856","90","4103","4583"
"District of Columbia","2021","96","5806","6061","97","5660","5806"
"Florida","2021","96","245381","255216","83","204847","245381"
"Georgia","2021","96","121841","127356","94","115116","121841"
"Hawaii","2021","84","13786","16349","72","9988","13786"
"Idaho","2021","96","16099","16726","74","11974","16099"
"Illinois","2021","92","201197","218496","97","194411","201197"
"Indiana","2021","99","140758","142289","99","138760","140758"
"Iowa","2021","92","43689","47234","86","37558","43689"
"Kansas","2021","97","77654","80261","87","67628","77654"
"Kentucky","2021","93","91791","98747","97","88796","91791"
"Louisiana","2021","97","37646","38962","97","36671","37646"
"Maine","2021","96","24054","25103","93","22250","24054"
"Maryland","2021","98","40710","41500","92","37331","40710"
"Massachusetts","2021","91","96629","106695","88","85432","96629"
"Michigan","2021","96","108973","113888","98","107030","108973"
"Minnesota","2021","85","68413","80825","89","60981","68413"
"Mississippi","2021","95","39595","41568","93","36759","39595"
"Missouri","2021","96","146738","152557","97","142000","146738"
"Montana","2021","67","25205","37398","86","21772","25205"
"Nebraska","2021","97","38789","40002","93","35992","38789"
"Nevada","2021","95","46355","48584","92","42771","46355"
"New Hampshire","2021","97","12356","12776","98","12052","12356"
"New Jersey","2021","99","39061","39440","98","38387","39061"
"New Mexico","2021","96","20677","21596","98","20292","20677"
"New York","2021","96","158509","164589","94","149671","158509"
"North Carolina","2021","97","116552","120178","92","107102","116552"
"North Dakota","2021","91","15884","17494","82","13099","15884"
"Ohio","2021","96","161155","168448","80","129640","161155"
"Oklahoma","2021","96","86464","90219","95","82289","86464"
"Oregon","2021","93","59071","63652","85","50190","59071"
"Pennsylvania","2021","96","3567","3698","98","3492","3567"
"Puerto Rico","2021","90","20967","23288","97","20349","20967"
"Rhode Island","2021","98","22274","22811","64","14203","22274"
"South Carolina","2021","95","43175","45280","69","29774","43175"
"South Dakota","2021","97","18135","18688","94","17057","18135"
"Tennessee","2021","97","91884","94359","89","82117","91884"
"Texas","2021","98","332345","337410","92","305571","332345"
"Utah","2021","97","23371","24140","100","23367","23371"
"Vermont","2021","96","11999","12451","78","9344","11999"
"Virginia","2021","99","48994","49622","88","43126","48994"
"Washington","2021","98","93389","95110","96","89449","93389"
"West Virginia","2021","95","74689","78727","70","52222","74689"
"Wisconsin","2021","97","78491","80661","88","69397","78491"
"Wyoming","2021","96","8751","9106","66","6547","8751"
