"State","Year","Children Maltreated While in Foster Care (%)","Children Not Maltreated While in Foster Care (%)","Number of Children in Foster Care During FY"
"Alabama","2019","0.27","99.73","9741"
"Alaska","2019","0.78","99.22","4216"
"Arizona","2019","0.12","99.88","22689"
"Arkansas","2019","0.15","99.85","7230"
"California","2019","0.19","99.81","77889"
"Colorado","2019","0.46","99.54","9742"
"Connecticut","2019","0.24","99.76","6145"
"Delaware","2019","0.22","99.78","930"
"District of Columbia","2019","0.28","99.72","1061"
"Florida","2019","0.02","99.98","39135"
"Georgia","2019","0.34","99.66","20176"
"Hawaii","2019","0.59","99.41","2875"
"Idaho","2019","0.07","99.93","3041"
"Illinois","2019","0.72","99.28","23032"
"Indiana","2019","0.25","99.75","27206"
"Iowa","2019","0.38","99.62","9774"
"Kansas","2019","0.25","99.75","12064"
"Kentucky","2019","0.2","99.8","15783"
"Louisiana","2019","NaN","NaN","NaN"
"Maine","2019","0.7","99.3","2997"
"Maryland","2019","0.54","99.46","5789"
"Massachusetts","2019","0.96","99.04","15802"
"Michigan","2019","0.88","99.12","17845"
"Minnesota","2019","0.37","99.63","15014"
"Mississippi","2019","1.55","98.45","7039"
"Missouri","2019","0.39","99.61","19327"
"Montana","2019","0.55","99.45","6050"
"Nebraska","2019","0.21","99.79","5643"
"Nevada","2019","0.39","99.61","7722"
"New Hampshire","2019","0.05","99.95","2111"
"New Jersey","2019","0.28","99.72","8116"
"New Mexico","2019","0.03","99.97","3933"
"New York","2019","1.5","98.5","24054"
"North Carolina","2019","0.47","99.53","15676"
"North Dakota","2019","0.12","99.88","2518"
"Ohio","2019","0.49","99.51","27440"
"Oklahoma","2019","0.69","99.31","13113"
"Oregon","2019","0.86","99.14","10529"
"Pennsylvania","2019","0.14","99.86","25584"
"Puerto Rico","2019","0.38","99.62","3150"
"Rhode Island","2019","2.06","97.94","3058"
"South Carolina","2019","0.41","99.59","8300"
"South Dakota","2019","0.26","99.74","2733"
"Tennessee","2019","0.17","99.83","14371"
"Texas","2019","0.24","99.76","51097"
"Utah","2019","0.2","99.8","4572"
"Vermont","2019","0.15","99.85","1985"
"Virginia","2019","0.25","99.75","7612"
"Washington","2019","0.06","99.94","16582"
"West Virginia","2019","0.14","99.86","12094"
"Wisconsin","2019","0.11","99.89","12271"
"Wyoming","2019","0","100","2075"
