"State","Year","Children Maltreated While in Foster Care (%)","Children Not Maltreated While in Foster Care (%)","Number of Children in Foster Care During FY"
"Alabama","2020","0.32","99.68","9175"
"Alaska","2020","1.43","98.57","4198"
"Arizona","2020","0.07","99.93","22255"
"Arkansas","2020","0.21","99.79","7159"
"California","2020","0.25","99.75","74441"
"Colorado","2020","0.3","99.7","8740"
"Connecticut","2020","0.15","99.85","5430"
"Delaware","2020","0","100","821"
"District of Columbia","2020","0.23","99.77","875"
"Florida","2020","0.01","99.99","37230"
"Georgia","2020","0.3","99.7","17618"
"Hawaii","2020","0.26","99.74","2682"
"Idaho","2020","0.08","99.92","2647"
"Illinois","2020","0.84","99.16","25896"
"Indiana","2020","0.24","99.76","24302"
"Iowa","2020","0.51","99.49","8314"
"Kansas","2020","0.15","99.85","10849"
"Kentucky","2020","0.27","99.73","14219"
"Louisiana","2020","0.11","99.89","6294"
"Maine","2020","0.85","99.15","3183"
"Maryland","2020","1.34","98.66","5159"
"Massachusetts","2020","1.15","98.85","14289"
"Michigan","2020","0.43","99.57","16021"
"Minnesota","2020","0.53","99.47","13192"
"Mississippi","2020","2.23","97.77","5884"
"Missouri","2020","0.28","99.72","19044"
"Montana","2020","0.35","99.65","5641"
"Nebraska","2020","0.16","99.84","5479"
"Nevada","2020","0.33","99.67","7281"
"New Hampshire","2020","0","100","1842"
"New Jersey","2020","0.13","99.87","6202"
"New Mexico","2020","0.26","99.74","3489"
"New York","2020","1.74","98.26","21975"
"North Carolina","2020","0.26","99.74","15164"
"North Dakota","2020","0.08","99.92","2451"
"Ohio","2020","0.37","99.63","26475"
"Oklahoma","2020","0.88","99.12","12325"
"Oregon","2020","0.2","99.8","9463"
"Pennsylvania","2020","0.18","99.82","22416"
"Puerto Rico","2020","0.14","99.86","2761"
"Rhode Island","2020","2.19","97.81","3057"
"South Carolina","2020","0.61","99.39","7419"
"South Dakota","2020","0.47","99.53","2791"
"Tennessee","2020","0.29","99.71","14674"
"Texas","2020","0.44","99.56","47543"
"Utah","2020","0.42","99.58","4094"
"Vermont","2020","0.23","99.77","1741"
"Virginia","2020","0.19","99.81","7451"
"Washington","2020","0.09","99.91","15108"
"West Virginia","2020","0.28","99.72","11849"
"Wisconsin","2020","0.2","99.8","11434"
"Wyoming","2020","0.67","99.33","1787"
