"State","Year","Two or Fewer Placements (%)","Three or More Placements (%)","Missing Data (%)","Number in Care"
"Alabama","2020","32.7","67.3","0","2508"
"Alaska","2020","43.2","56.8","0","1395"
"Arizona","2020","40","58.4","1.6","4554"
"Arkansas","2020","18.1","81.8","0.1","1395"
"California","2020","44.5","55.5","0","24932"
"Colorado","2020","33.7","48.3","18.1","2035"
"Connecticut","2020","44.3","55.7","0","2151"
"Delaware","2020","24","76","0","279"
"District of Columbia","2020","41.6","58.4","0","351"
"Florida","2020","40.5","59.5","0","9250"
"Georgia","2020","41.2","58.8","0","6902"
"Hawaii","2020","57","43","0","698"
"Idaho","2020","38.8","61.2","0","583"
"Illinois","2020","38.2","61.7","0.1","11331"
"Indiana","2020","49","51","0","7793"
"Iowa","2020","41.5","58.5","0","1733"
"Kansas","2020","39","61","0","3847"
"Kentucky","2020","45.2","54.8","0","4205"
"Louisiana","2020","31","69","0","1636"
"Maine","2020","53.8","46.2","0","888"
"Maryland","2020","NaN","NaN","NaN","NaN"
"Massachusetts","2020","28.2","71.8","0","5303"
"Michigan","2020","49.4","50.6","0","5796"
"Minnesota","2020","39.9","60.1","0","3453"
"Mississippi","2020","43.7","56.3","0","2155"
"Missouri","2020","34.3","65.7","0","5602"
"Montana","2020","45.1","54.9","0","1839"
"Nebraska","2020","42.2","57.8","0","1441"
"Nevada","2020","33.9","66.1","0.1","1986"
"New Hampshire","2020","44.9","55.1","0","550"
"New Jersey","2020","52.1","47.9","0","2291"
"New Mexico","2020","29.6","70.4","0","1397"
"New York","2020","48.4","51.6","0","8827"
"North Carolina","2020","38.5","61.5","0","4922"
"North Dakota","2020","35.4","64.6","0","741"
"Ohio","2020","46.2","53.8","0","5864"
"Oklahoma","2020","35.4","64.6","0","3483"
"Oregon","2020","43.1","56.9","0","3622"
"Pennsylvania","2020","50.2","49.8","0","7533"
"Puerto Rico","2020","26.2","73.8","0","1156"
"Rhode Island","2020","55.7","44.3","0","1051"
"South Carolina","2020","28.9","71.1","0","1966"
"South Dakota","2020","34.9","65.1","0","691"
"Tennessee","2020","33.4","66.6","0","3113"
"Texas","2020","21.6","78.4","0","10884"
"Utah","2020","18.8","81.1","0.1","682"
"Vermont","2020","37.8","62.2","0","571"
"Virginia","2020","37.5","62.5","0","2374"
"Washington","2020","39.9","60","0","6436"
"West Virginia","2020","46.9","53.1","0","2253"
"Wisconsin","2020","54.6","45.4","0.1","3518"
"Wyoming","2020","45.4","54.6","0","273"
