"State","Year","Two or Fewer Placements (%)","Three or More Placements (%)","Missing Data (%)","Number in Care"
"Alabama","2019","100","0","0","20"
"Alaska","2019","100","0","0","2"
"Arizona","2019","69.6","0","30.4","46"
"Arkansas","2019","72.7","0","27.3","11"
"California","2019","97.4","2.6","0","116"
"Colorado","2019","100","0","0","9"
"Connecticut","2019","100","0","0","3"
"Delaware","2019","100","0","0","1"
"District of Columbia","2019","100","0","0","2"
"Florida","2019","100","0","0","59"
"Georgia","2019","95.2","0","4.8","21"
"Hawaii","2019","100","0","0","1"
"Idaho","2019","100","0","0","4"
"Illinois","2019","91.7","4.2","4.2","48"
"Indiana","2019","97.4","2.6","0","39"
"Iowa","2019","100","0","0","14"
"Kansas","2019","89.3","0","10.7","28"
"Kentucky","2019","100","0","0","49"
"Louisiana","2019","100","0","0","7"
"Maine","2019","50","0","50","4"
"Maryland","2019","89.3","0","10.7","28"
"Massachusetts","2019","100","0","0","17"
"Michigan","2019","96.9","3.1","0","32"
"Minnesota","2019","96.9","0","3.1","32"
"Mississippi","2019","88","0","12","25"
"Missouri","2019","100","0","0","30"
"Montana","2019","100","0","0","3"
"Nebraska","2019","100","0","0","4"
"Nevada","2019","42.9","0","57.1","14"
"New Hampshire","2019","0","0","0","0"
"New Jersey","2019","100","0","0","15"
"New Mexico","2019","100","0","0","3"
"New York","2019","73.5","26.5","0","34"
"North Carolina","2019","90.9","9.1","0","11"
"North Dakota","2019","100","0","0","14"
"Ohio","2019","98.1","1.9","0","53"
"Oklahoma","2019","50","33.3","16.7","6"
"Oregon","2019","100","0","0","14"
"Pennsylvania","2019","100","0","0","43"
"Puerto Rico","2019","71.4","28.6","0","7"
"Rhode Island","2019","100","0","0","8"
"South Carolina","2019","100","0","0","16"
"South Dakota","2019","100","0","0","5"
"Tennessee","2019","94.1","5.9","0","17"
"Texas","2019","94.6","5.4","0","74"
"Utah","2019","54.5","0","45.5","11"
"Vermont","2019","100","0","0","1"
"Virginia","2019","89.5","5.3","5.3","57"
"Washington","2019","92.3","0","7.7","13"
"West Virginia","2019","100","0","0","17"
"Wisconsin","2019","88.9","11.1","0","27"
"Wyoming","2019","100","0","0","9"
