"State","Year","Number","Rate per 100,000"
"Alabama","2018","43","3.94"
"Alaska","2018","2","1.09"
"Arizona","2018","48","2.93"
"Arkansas","2018","44","6.25"
"California","2018","145","1.62"
"Colorado","2018","40","3.16"
"Connecticut","2018","8","1.09"
"Delaware","2018","4","1.96"
"District of Columbia","2018","5","3.95"
"Florida","2018","111","2.63"
"Georgia","2018","86","3.43"
"Hawaii","2018","1","0.33"
"Idaho","2018","3","0.67"
"Illinois","2018","70","2.45"
"Indiana","2018","80","5.09"
"Iowa","2018","16","2.19"
"Kansas","2018","9","1.27"
"Kentucky","2018","6","0.6"
"Louisiana","2018","25","2.28"
"Maine","2018","3","1.2"
"Maryland","2018","40","2.98"
"Massachusetts","2018","14","1.02"
"Michigan","2018","49","2.26"
"Minnesota","2018","30","2.3"
"Mississippi","2018","30","4.24"
"Missouri","2018","36","2.61"
"Montana","2018","2","0.87"
"Nebraska","2018","0","0"
"Nevada","2018","19","2.76"
"New Hampshire","2018","0","0"
"New Jersey","2018","18","0.92"
"New Mexico","2018","12","2.49"
"New York","2018","118","2.9"
"North Carolina","2018","14","0.61"
"North Dakota","2018","8","4.48"
"Ohio","2018","106","4.08"
"Oklahoma","2018","47","4.92"
"Oregon","2018","26","2.99"
"Pennsylvania","2018","45","1.7"
"Puerto Rico","2018","3","0.51"
"Rhode Island","2018","1","0.49"
"South Carolina","2018","39","3.52"
"South Dakota","2018","3","1.38"
"Tennessee","2018","47","3.11"
"Texas","2018","200","2.71"
"Utah","2018","10","1.08"
"Vermont","2018","1","0.86"
"Virginia","2018","37","1.98"
"Washington","2018","28","1.69"
"West Virginia","2018","8","2.19"
"Wisconsin","2018","24","1.88"
"Wyoming","2018","1","0.74"
