"State","Year","Two or Fewer Placements (%)","Three or More Placements (%)","Missing Data (%)","Number in Care"
"Alabama","2019","57.4","42.5","0.1","2512"
"Alaska","2019","65.4","34.6","0","1094"
"Arizona","2019","67.4","30.3","2.2","6518"
"Arkansas","2019","53.3","46.7","0","1875"
"California","2019","71.4","28.6","0","20118"
"Colorado","2019","52.3","35.9","11.8","2304"
"Connecticut","2019","71.7","28.3","0","1726"
"Delaware","2019","59","41","0","268"
"District of Columbia","2019","64.8","34.8","0.4","270"
"Florida","2019","64.8","35.2","0","11437"
"Georgia","2019","63.5","36.4","0.1","5762"
"Hawaii","2019","73.8","26.2","0","775"
"Idaho","2019","63","37","0","876"
"Illinois","2019","63.4","36.6","0","5352"
"Indiana","2019","74","26","0","7215"
"Iowa","2019","74.3","25.7","0","3489"
"Kansas","2019","55.4","44.6","0","3230"
"Kentucky","2019","63.4","36.6","0","3745"
"Louisiana","2019","56.1","43.9","0","2196"
"Maine","2019","77.3","22.7","0","983"
"Maryland","2019","68.5","31.3","0.2","1679"
"Massachusetts","2019","48.8","51.2","0","3761"
"Michigan","2019","72.5","27.5","0","5669"
"Minnesota","2019","70.4","29.6","0","4104"
"Mississippi","2019","65.5","34.3","0.2","1656"
"Missouri","2019","62.8","37.2","0","5978"
"Montana","2019","70.6","29.4","0","1618"
"Nebraska","2019","73.8","26.2","0.1","1559"
"Nevada","2019","61.8","38.2","0","1942"
"New Hampshire","2019","67.3","32.7","0","590"
"New Jersey","2019","73.9","26.1","0","2164"
"New Mexico","2019","48.4","51.6","0","902"
"New York","2019","68.7","31.3","0","5657"
"North Carolina","2019","72.5","27.5","0","4510"
"North Dakota","2019","58.1","41.9","0","628"
"Ohio","2019","70.7","29.3","0","7257"
"Oklahoma","2019","63.1","36.9","0","4309"
"Oregon","2019","66","33.9","0","2787"
"Pennsylvania","2019","70.4","29.6","0","6660"
"Puerto Rico","2019","46.9","53.1","0","653"
"Rhode Island","2019","76.6","23.4","0","980"
"South Carolina","2019","53.9","46.1","0","1637"
"South Dakota","2019","59.5","40.5","0","652"
"Tennessee","2019","50.2","49.8","0","3806"
"Texas","2019","56.2","43.8","0","17688"
"Utah","2019","55.4","44.1","0.5","1331"
"Vermont","2019","60.6","39.4","0","614"
"Virginia","2019","62.7","37.1","0.1","2182"
"Washington","2019","65.1","34.9","0","4098"
"West Virginia","2019","75.7","24.3","0","3926"
"Wisconsin","2019","74.6","25.3","0.1","3381"
"Wyoming","2019","70.1","29.9","0","468"
