"State","Year","Total Children Under 18"
"Alabama","2018","1092599"
"Alaska","2018","183189"
"Arizona","2018","1638657"
"Arkansas","2018","703626"
"California","2018","8974477"
"Colorado","2018","1264226"
"Connecticut","2018","736061"
"Delaware","2018","204154"
"District of Columbia","2018","126703"
"Florida","2018","4226134"
"Georgia","2018","2509456"
"Hawaii","2018","303049"
"Idaho","2018","445134"
"Illinois","2018","2857349"
"Indiana","2018","1572404"
"Iowa","2018","729802"
"Kansas","2018","706593"
"Kentucky","2018","1008017"
"Louisiana","2018","1098318"
"Maine","2018","250465"
"Maryland","2018","1341430"
"Massachusetts","2018","1365956"
"Michigan","2018","2163590"
"Minnesota","2018","1303090"
"Mississippi","2018","707663"
"Missouri","2018","1379108"
"Montana","2018","229210"
"Nebraska","2018","476581"
"Nevada","2018","688989"
"New Hampshire","2018","258045"
"New Jersey","2018","1954045"
"New Mexico","2018","482442"
"New York","2018","4074414"
"North Carolina","2018","2304529"
"North Dakota","2018","178524"
"Ohio","2018","2595584"
"Oklahoma","2018","955996"
"Oregon","2018","868879"
"Pennsylvania","2018","2653058"
"Puerto Rico","2018","591875"
"Rhode Island","2018","206059"
"South Carolina","2018","1108588"
"South Dakota","2018","216722"
"Tennessee","2018","1510375"
"Texas","2018","7382686"
"Utah","2018","930162"
"Vermont","2018","115630"
"Virginia","2018","1870042"
"Washington","2018","1657823"
"West Virginia","2018","365119"
"Wisconsin","2018","1276066"
"Wyoming","2018","134683"
