"State","Year","Two or Fewer Placements (%)","Three or More Placements (%)","Missing Data (%)","Number in Care"
"Alabama","2020","78.1","20.9","1","4206"
"Alaska","2020","82.7","17.2","0.1","1581"
"Arizona","2020","83.4","13.6","3","10947"
"Arkansas","2020","75.6","24.3","0.1","3741"
"California","2020","88.9","11.1","0","28626"
"Colorado","2020","82.2","11.9","5.9","4406"
"Connecticut","2020","84.8","15.2","0","1518"
"Delaware","2020","86.1","13.9","0","317"
"District of Columbia","2020","76.2","23","0.8","244"
"Florida","2020","84.5","15.5","0","16504"
"Georgia","2020","85.1","14.8","0.1","5762"
"Hawaii","2020","87","11.2","1.8","1177"
"Idaho","2020","84.5","15.5","0","1278"
"Illinois","2020","84.9","14.8","0.3","8210"
"Indiana","2020","89.4","10.5","0.1","10145"
"Iowa","2020","90.6","9.4","0","3335"
"Kansas","2020","79","20.7","0.3","3676"
"Kentucky","2020","84.8","15.2","0","6265"
"Louisiana","2020","81","18.8","0.2","2849"
"Maine","2020","87.8","11.7","0.5","1238"
"Maryland","2020","NaN","NaN","NaN","NaN"
"Massachusetts","2020","79.1","20.5","0.4","5410"
"Michigan","2020","89.2","10.6","0.2","5020"
"Minnesota","2020","87.8","11.8","0.4","6013"
"Mississippi","2020","81.8","17.8","0.4","2223"
"Missouri","2020","80","20","0","7475"
"Montana","2020","87.9","12","0.1","2407"
"Nebraska","2020","90.5","9.1","0.4","2387"
"Nevada","2020","83.8","14.5","1.7","3236"
"New Hampshire","2020","81.6","18.3","0.1","793"
"New Jersey","2020","90.6","9.4","0","2143"
"New Mexico","2020","84.2","15.8","0","1306"
"New York","2020","85","15","0","7534"
"North Carolina","2020","88.4","11.6","0","5790"
"North Dakota","2020","75","25","0","1149"
"Ohio","2020","88.5","11.3","0.2","13103"
"Oklahoma","2020","80.2","19.6","0.2","4583"
"Oregon","2020","82.9","16.7","0.3","3305"
"Pennsylvania","2020","89.1","10.8","0.1","8543"
"Puerto Rico","2020","72.5","27.5","0","720"
"Rhode Island","2020","90.9","9.1","0","1024"
"South Carolina","2020","74.7","25.1","0.2","3772"
"South Dakota","2020","82.8","17.2","0.1","1335"
"Tennessee","2020","66","33.7","0.4","7344"
"Texas","2020","84.2","15.8","0","19948"
"Utah","2020","78.9","20","1.1","2025"
"Vermont","2020","76","24","0","671"
"Virginia","2020","86.8","13.1","0.1","2813"
"Washington","2020","84.6","15.1","0.2","4820"
"West Virginia","2020","89.9","10.1","0","5603"
"Wisconsin","2020","87.9","11.6","0.5","4796"
"Wyoming","2020","90.1","9.8","0.1","1116"
