"State","Year","Children Maltreated While in Foster Care (%)","Children Not Maltreated While in Foster Care (%)","Number of Children in Foster Care During FY"
"Alabama","2021","0.25","99.75","9081"
"Alaska","2021","1.12","98.88","4119"
"Arizona","2021","NaN","NaN","NaN"
"Arkansas","2021","0.29","99.71","7151"
"California","2021","0.24","99.76","72070"
"Colorado","2021","0.32","99.68","8147"
"Connecticut","2021","0.14","99.86","5041"
"Delaware","2021","0.41","99.59","724"
"District of Columbia","2021","0.25","99.75","810"
"Florida","2021","0.01","99.99","36161"
"Georgia","2021","0.4","99.6","16043"
"Hawaii","2021","0.63","99.37","2556"
"Idaho","2021","0.22","99.78","2693"
"Illinois","2021","0.77","99.23","27277"
"Indiana","2021","0.18","99.82","21932"
"Iowa","2021","0.96","99.04","7413"
"Kansas","2021","0.24","99.76","10284"
"Kentucky","2021","0.31","99.69","13647"
"Louisiana","2021","NaN","NaN","NaN"
"Maine","2021","0.63","99.37","3181"
"Maryland","2021","1","99","5491"
"Massachusetts","2021","1.13","98.87","13593"
"Michigan","2021","0.49","99.51","14474"
"Minnesota","2021","0.55","99.45","12084"
"Mississippi","2021","1.42","98.58","5570"
"Missouri","2021","0.29","99.71","19340"
"Montana","2021","0.24","99.76","5036"
"Nebraska","2021","0.31","99.69","5511"
"Nevada","2021","0.53","99.47","7144"
"New Hampshire","2021","0","100","1688"
"New Jersey","2021","0.13","99.87","5287"
"New Mexico","2021","0.17","99.83","3027"
"New York","2021","1.38","98.62","21697"
"North Carolina","2021","NaN","NaN","NaN"
"North Dakota","2021","0","100","2461"
"Ohio","2021","0.35","99.65","25773"
"Oklahoma","2021","1.04","98.96","11496"
"Oregon","2021","0","100","8281"
"Pennsylvania","2021","0.2","99.8","21467"
"Puerto Rico","2021","0.89","99.11","2687"
"Rhode Island","2021","1.42","98.58","2882"
"South Carolina","2021","1","99","6702"
"South Dakota","2021","0.04","99.96","2629"
"Tennessee","2021","0.3","99.7","14558"
"Texas","2021","0.84","99.16","44929"
"Utah","2021","1.24","98.76","3870"
"Vermont","2021","0.18","99.82","1634"
"Virginia","2021","0.21","99.79","7570"
"Washington","2021","0.07","99.93","13354"
"West Virginia","2021","0.21","99.79","11911"
"Wisconsin","2021","0.19","99.81","10586"
"Wyoming","2021","0.44","99.56","1601"
