"State","Year","Two or Fewer Placements (%)","Three or More Placements (%)","Missing Data (%)","Number in Care"
"Alabama","2021","76.8","21.8","1.4","4278"
"Alaska","2021","79.5","20.4","0.1","1525"
"Arizona","2021","80.5","12.9","6.6","9801"
"Arkansas","2021","76.1","23.8","0.1","3479"
"California","2021","87.6","12.4","0","26258"
"Colorado","2021","84.6","11.3","4.1","4341"
"Connecticut","2021","85.9","14.1","0","1291"
"Delaware","2021","83.9","16.1","0","335"
"District of Columbia","2021","67.8","31.8","0.4","255"
"Florida","2021","82.9","17.1","0","15763"
"Georgia","2021","85","14.8","0.2","5320"
"Hawaii","2021","87.7","10.2","2.1","1147"
"Idaho","2021","84.9","15.1","0","1493"
"Illinois","2021","84.4","15.1","0.5","7333"
"Indiana","2021","89.3","10.7","0","9048"
"Iowa","2021","89.9","10.1","0","3464"
"Kansas","2021","79.4","20.3","0.4","3582"
"Kentucky","2021","85.1","14.8","0.1","5892"
"Louisiana","2021","81.9","17.8","0.3","2698"
"Maine","2021","84.8","14.1","1.1","1015"
"Maryland","2021","83.7","11.8","4.5","1735"
"Massachusetts","2021","77.7","21.7","0.6","4991"
"Michigan","2021","89.4","10.3","0.3","4265"
"Minnesota","2021","88.6","11.3","0.1","5478"
"Mississippi","2021","82.7","16.9","0.5","2314"
"Missouri","2021","80.4","19.6","0","7484"
"Montana","2021","88.6","11.4","0","2026"
"Nebraska","2021","88.3","11.4","0.3","2286"
"Nevada","2021","82","16.2","1.8","3234"
"New Hampshire","2021","81","18.9","0.2","663"
"New Jersey","2021","90.8","9.2","0","1755"
"New Mexico","2021","81.6","18.2","0.2","1042"
"New York","2021","84.5","15.5","0","7122"
"North Carolina","2021","80.3","19.4","0.3","6144"
"North Dakota","2021","78.1","21.8","0.1","1141"
"Ohio","2021","89","10.7","0.3","12461"
"Oklahoma","2021","78.4","21.5","0.2","3953"
"Oregon","2021","82.2","17.5","0.3","2803"
"Pennsylvania","2021","89.4","10.4","0.1","8461"
"Puerto Rico","2021","78.9","21.1","0","828"
"Rhode Island","2021","92.1","7.9","0","901"
"South Carolina","2021","73.3","26.6","0.2","3135"
"South Dakota","2021","83.1","16.9","0","1184"
"Tennessee","2021","78.1","21.3","0.6","7171"
"Texas","2021","81.1","18.9","0","17936"
"Utah","2021","82.9","15.1","2","1844"
"Vermont","2021","75.3","24.7","0","665"
"Virginia","2021","86.1","13.7","0.2","2595"
"Washington","2021","85","14.9","0.1","4186"
"West Virginia","2021","90.7","9.3","0","5563"
"Wisconsin","2021","87.3","11.5","1.2","4242"
"Wyoming","2021","91.3","8.6","0.1","1025"
