"State","Year","Two or Fewer Placements (%)","Three or More Placements (%)","Missing Data (%)","Number in Care"
"Alabama","2018","55.4","44.4","0.2","2519"
"Alaska","2018","66.9","33.1","0","1051"
"Arizona","2018","68.3","30.4","1.3","7311"
"Arkansas","2018","51.2","48.8","0","2236"
"California","2018","70.8","29.2","0","20811"
"Colorado","2018","51.3","37.9","10.8","2536"
"Connecticut","2018","67.7","32.3","0","1513"
"Delaware","2018","60.9","39.1","0","312"
"District of Columbia","2018","65","34.6","0.4","266"
"Florida","2018","65.2","34.8","0","11576"
"Georgia","2018","63.5","36.5","0","5514"
"Hawaii","2018","78.8","21.2","0","740"
"Idaho","2018","65.9","34.1","0","771"
"Illinois","2018","61.3","38.7","0.1","4653"
"Indiana","2018","73.4","26.6","0","8887"
"Iowa","2018","74.3","25.7","0","3337"
"Kansas","2018","57.8","42.2","0","2989"
"Kentucky","2018","61.9","38.1","0","2989"
"Louisiana","2018","57.2","42.8","0","2005"
"Maine","2018","83.2","16.6","0.1","764"
"Maryland","2018","68.3","31.5","0.2","1564"
"Massachusetts","2018","46.1","53.8","0.1","3903"
"Michigan","2018","71.8","28.1","0.1","5888"
"Minnesota","2018","67.6","32.4","0","4412"
"Mississippi","2018","65.8","34.2","0","2186"
"Missouri","2018","63.4","36.6","0","5757"
"Montana","2018","69","31","0","1709"
"Nebraska","2018","74.3","25.6","0.1","2092"
"Nevada","2018","57.8","42","0.1","1924"
"New Hampshire","2018","71.5","28.5","0","624"
"New Jersey","2018","73.9","26.1","0","2259"
"New Mexico","2018","54.4","45.6","0","996"
"New York","2018","71.5","28.5","0","5989"
"North Carolina","2018","76","24","0","4397"
"North Dakota","2018","52.5","47.5","0","602"
"Ohio","2018","70.2","29.8","0","6761"
"Oklahoma","2018","59.1","40.9","0","4694"
"Oregon","2018","66.2","33.8","0","3256"
"Pennsylvania","2018","69.4","30.6","0","6981"
"Puerto Rico","2018","52.9","47.1","0","671"
"Rhode Island","2018","73.3","26.7","0","910"
"South Carolina","2018","53.8","46.1","0.1","1562"
"South Dakota","2018","61.6","38.4","0","787"
"Tennessee","2018","50.3","49.7","0.1","3647"
"Texas","2018","56","44","0","17097"
"Utah","2018","56.2","42.7","1.1","1529"
"Vermont","2018","57","43","0","502"
"Virginia","2018","64.7","35.3","0","2053"
"Washington","2018","63","37","0","4422"
"West Virginia","2018","76","24","0","3574"
"Wisconsin","2018","72.7","27.3","0","3429"
"Wyoming","2018","73.5","26.5","0","453"
