"State","Year","Two or Fewer Placements (%)","Three or More Placements (%)","Missing Data (%)","Number in Care"
"Alabama","2021","34.5","65.5","0","2516"
"Alaska","2021","41.9","58.1","0","1491"
"Arizona","2021","24.8","74.9","0.3","5655"
"Arkansas","2021","24.6","75.4","0","1466"
"California","2021","47.5","52.5","0","26597"
"Colorado","2021","32.5","47.4","20","1957"
"Connecticut","2021","47.6","52.4","0","2535"
"Delaware","2021","25.1","74.9","0","211"
"District of Columbia","2021","33.2","66.8","0","349"
"Florida","2021","41.1","58.9","0","9925"
"Georgia","2021","43.7","56.3","0","6784"
"Hawaii","2021","57.4","42.6","0","662"
"Idaho","2021","36","64","0","572"
"Illinois","2021","43.4","56.5","0.1","12866"
"Indiana","2021","48.3","51.7","0","6980"
"Iowa","2021","41.4","58.6","0","1566"
"Kansas","2021","39.8","60.2","0","4039"
"Kentucky","2021","46.8","53.2","0","4555"
"Louisiana","2021","33","67","0","1545"
"Maine","2021","59.6","39.6","0.8","1183"
"Maryland","2021","40.6","59.4","0","2436"
"Massachusetts","2021","31.3","68.7","0","5453"
"Michigan","2021","52.8","47.2","0","5886"
"Minnesota","2021","40.3","59.7","0","3357"
"Mississippi","2021","45.1","54.9","0","2007"
"Missouri","2021","36","64","0","5789"
"Montana","2021","44","56","0","1714"
"Nebraska","2021","45.5","54.5","0","1500"
"Nevada","2021","35.2","64.8","0","2026"
"New Hampshire","2021","42.6","57.4","0","589"
"New Jersey","2021","54.7","45.3","0","2143"
"New Mexico","2021","27.3","72.7","0","1248"
"New York","2021","51.2","48.8","0","9657"
"North Carolina","2021","29.8","70.2","0","5091"
"North Dakota","2021","33.5","66.5","0","743"
"Ohio","2021","47.4","52.6","0","6546"
"Oklahoma","2021","39.1","60.9","0","3753"
"Oregon","2021","41.3","58.7","0","3222"
"Pennsylvania","2021","55.4","44.6","0","7920"
"Puerto Rico","2021","27.8","72.2","0","1295"
"Rhode Island","2021","57.2","42.8","0","1145"
"South Carolina","2021","28.6","71.4","0","2095"
"South Dakota","2021","31.4","68.6","0","742"
"Tennessee","2021","42.7","57.3","0","3496"
"Texas","2021","21.3","78.7","0","11267"
"Utah","2021","24.6","75.4","0","763"
"Vermont","2021","41.4","58.6","0","543"
"Virginia","2021","37.8","62.1","0","2891"
"Washington","2021","40.3","59.7","0","6100"
"West Virginia","2021","49.2","50.8","0","2472"
"Wisconsin","2021","54.7","45.2","0.1","3473"
"Wyoming","2021","41","59","0","261"
