"State","Year","Monthly Caseworker Visits (MCVs) (%)","Number of Caseworker Visits","Number of Visit Months","Visits in Home (%)","Number of Home Visits","Number of Caseworker Visits"
"Alabama","2019","97","65497","67290","100","65297","65497"
"Alaska","2019","71","22905","32133","63","14470","22905"
"Arizona","2019","96","144209","150584","82","117728","144209"
"Arkansas","2019","90","41713","46302","95","39711","41713"
"California","2019","95","512724","540268","80","408959","512724"
"Colorado","2019","95","47828","50237","85","40527","47828"
"Connecticut","2019","95","41640","43917","92","38374","41640"
"Delaware","2019","92","6242","6805","80","4992","6242"
"District of Columbia","2019","97","7828","8110","98","7672","7828"
"Florida","2019","96","257231","268857","100","256547","257231"
"Georgia","2019","97","148538","153505","81","119967","148538"
"Hawaii","2019","78","2143","2765","58","1238","2143"
"Idaho","2019","96","19595","20502","76","14855","19595"
"Illinois","2019","94","167253","177293","97","161625","167253"
"Indiana","2019","99","171851","173650","81","140055","171851"
"Iowa","2019","84","56237","67098","73","41257","56237"
"Kansas","2019","74","61004","82429","85","51613","61004"
"Kentucky","2019","92","98142","106404","97","95638","98142"
"Louisiana","2019","97","46866","48516","95","44633","46866"
"Maine","2019","96","21324","22200","86","18397","21324"
"Maryland","2019","97","38391","39376","76","29355","38391"
"Massachusetts","2019","91","107232","117198","83","89400","107232"
"Michigan","2019","97","134819","138461","98","132656","134819"
"Minnesota","2019","82","81421","99236","87","71081","81421"
"Mississippi","2019","96","49964","52229","93","46274","49964"
"Missouri","2019","97","143611","147945","95","136939","143611"
"Montana","2019","61","27000","43995","80","21547","27000"
"Nebraska","2019","97","36936","38182","90","33140","36936"
"Nevada","2019","94","47673","50951","92","43645","47673"
"New Hampshire","2019","90","14192","15706","97","13824","14192"
"New Jersey","2019","98","54324","55508","98","53175","54324"
"New Mexico","2019","93","25512","27409","98","24878","25512"
"New York","2019","96","170596","177272","93","158800","170596"
"North Carolina","2019","95","117439","123686","92","107854","117439"
"North Dakota","2019","95","16518","17470","79","13111","16518"
"Ohio","2019","96","169116","175842","85","144458","169116"
"Oklahoma","2019","95","91088","95649","94","85678","91088"
"Oregon","2019","90","72927","80712","75","54823","72927"
"Pennsylvania","2019","97","2952","3059","97","2867","2952"
"Puerto Rico","2019","96","23708","24693","92","21801","23708"
"Rhode Island","2019","95","22966","24202","71","16396","22966"
"South Carolina","2019","97","48620","49999","68","33221","48620"
"South Dakota","2019","97","17653","18168","93","16504","17653"
"Tennessee","2019","96","90342","93804","76","68348","90342"
"Texas","2019","99","355643","360788","89","317064","355643"
"Utah","2019","97","26525","27420","100","26499","26525"
"Vermont","2019","90","13384","14807","54","7211","13384"
"Virginia","2019","96","50648","52666","79","40236","50648"
"Washington","2019","95","114889","120639","88","101123","114889"
"West Virginia","2019","93","73049","78743","61","44416","73049"
"Wisconsin","2019","97","86774","89172","87","75113","86774"
"Wyoming","2019","96","11113","11630","69","7697","11113"
