"State","Year","Two or Fewer Placements (%)","Three or More Placements (%)","Missing Data (%)","Number in Care"
"Alabama","2018","32","68","0","2226"
"Alaska","2018","42.5","57.5","0","1450"
"Arizona","2018","41.1","57","1.9","5759"
"Arkansas","2018","19.7","80.3","0.1","1638"
"California","2018","42.5","57.5","0","26030"
"Colorado","2018","27.2","59.1","13.7","1970"
"Connecticut","2018","40.5","59.5","0","1964"
"Delaware","2018","28.5","71.5","0","351"
"District of Columbia","2018","38.3","61.7","0","436"
"Florida","2018","42.9","57.1","0","8253"
"Georgia","2018","38.3","61.7","0","6340"
"Hawaii","2018","51.9","48.1","0","626"
"Idaho","2018","43.9","56.1","0","529"
"Illinois","2018","30.7","69.3","0","10457"
"Indiana","2018","50.5","49.5","0","8435"
"Iowa","2018","40.9","59.1","0","1596"
"Kansas","2018","43","57","0","3815"
"Kentucky","2018","41.4","58.6","0","3782"
"Louisiana","2018","37.7","62.3","0","1779"
"Maine","2018","49.3","50.7","0","686"
"Maryland","2018","44.9","54.7","0.4","1909"
"Massachusetts","2018","32.5","67.5","0","5803"
"Michigan","2018","47.4","52.6","0","5134"
"Minnesota","2018","38.7","61.3","0","3452"
"Mississippi","2018","45.8","54.2","0","2574"
"Missouri","2018","33.9","66.1","0","5478"
"Montana","2018","46.7","53.3","0","1720"
"Nebraska","2018","44.5","55.5","0","1569"
"Nevada","2018","29.3","70.7","0","1906"
"New Hampshire","2018","54.6","45.4","0","478"
"New Jersey","2018","52.2","47.8","0","2961"
"New Mexico","2018","29.6","70.4","0","1495"
"New York","2018","46.9","53.1","0","9133"
"North Carolina","2018","42.4","57.6","0","4430"
"North Dakota","2018","29.7","70.3","0","671"
"Ohio","2018","44.8","55.2","0","5016"
"Oklahoma","2018","30.9","69.1","0","3910"
"Oregon","2018","41.5","58.5","0","3689"
"Pennsylvania","2018","46.3","53.7","0","7742"
"Puerto Rico","2018","30.8","69.2","0","1317"
"Rhode Island","2018","49.9","50.1","0","643"
"South Carolina","2018","27.7","72.3","0","1755"
"South Dakota","2018","34.1","65.9","0","599"
"Tennessee","2018","36.6","63.3","0","2397"
"Texas","2018","23.2","76.8","0","10320"
"Utah","2018","16.7","83.1","0.1","807"
"Vermont","2018","36.4","63.6","0","568"
"Virginia","2018","39.8","60.2","0","2342"
"Washington","2018","39.5","60.5","0","6345"
"West Virginia","2018","44.3","55.7","0","1835"
"Wisconsin","2018","50","50","0","3303"
"Wyoming","2018","48","52","0","306"
