"State","Year","Number","Rate per 100,000"
"Alabama","2021","36","3.21"
"Alaska","2021","6","3.35"
"Arizona","2021","NaN","NaN"
"Arkansas","2021","36","5.12"
"California","2021","135","1.54"
"Colorado","2021","31","2.49"
"Connecticut","2021","14","1.92"
"Delaware","2021","7","3.36"
"District of Columbia","2021","2","1.59"
"Florida","2021","84","1.96"
"Georgia","2021","92","3.64"
"Hawaii","2021","2","0.66"
"Idaho","2021","3","0.64"
"Illinois","2021","89","3.17"
"Indiana","2021","57","3.59"
"Iowa","2021","12","1.63"
"Kansas","2021","10","1.42"
"Kentucky","2021","11","1.08"
"Louisiana","2021","23","2.12"
"Maine","2021","8","3.18"
"Maryland","2021","84","6.16"
"Massachusetts","2021","NaN","NaN"
"Michigan","2021","35","1.63"
"Minnesota","2021","22","1.67"
"Mississippi","2021","49","7.07"
"Missouri","2021","75","5.42"
"Montana","2021","2","0.85"
"Nebraska","2021","1","0.21"
"Nevada","2021","28","4.01"
"New Hampshire","2021","3","1.17"
"New Jersey","2021","10","0.49"
"New Mexico","2021","10","2.11"
"New York","2021","126","3.06"
"North Carolina","2021","45","1.96"
"North Dakota","2021","4","2.15"
"Ohio","2021","98","3.76"
"Oklahoma","2021","15","1.56"
"Oregon","2021","18","2.09"
"Pennsylvania","2021","65","2.43"
"Puerto Rico","2021","7","1.28"
"Rhode Island","2021","2","0.96"
"South Carolina","2021","41","3.67"
"South Dakota","2021","9","4.08"
"Tennessee","2021","32","2.08"
"Texas","2021","206","2.76"
"Utah","2021","4","0.42"
"Vermont","2021","1","0.85"
"Virginia","2021","51","2.71"
"Washington","2021","19","1.13"
"West Virginia","2021","9","2.51"
"Wisconsin","2021","22","1.73"
"Wyoming","2021","2","1.51"
