"State","Year","Two or Fewer Placements (%)","Three or More Placements (%)","Missing Data (%)","Number in Care"
"Alabama","2020","86.7","13.3","0","15"
"Alaska","2020","100","0","0","6"
"Arizona","2020","77.8","0","22.2","36"
"Arkansas","2020","93.8","0","6.3","16"
"California","2020","96.2","3","0.8","132"
"Colorado","2020","69.2","15.4","15.4","13"
"Connecticut","2020","100","0","0","4"
"Delaware","2020","100","0","0","2"
"District of Columbia","2020","100","0","0","1"
"Florida","2020","98.4","1.6","0","61"
"Georgia","2020","100","0","0","19"
"Hawaii","2020","100","0","0","5"
"Idaho","2020","100","0","0","3"
"Illinois","2020","91.1","4.4","4.4","45"
"Indiana","2020","96","4","0","25"
"Iowa","2020","100","0","0","15"
"Kansas","2020","100","0","0","26"
"Kentucky","2020","100","0","0","21"
"Louisiana","2020","100","0","0","9"
"Maine","2020","50","12.5","37.5","8"
"Maryland","2020","NaN","NaN","NaN","NaN"
"Massachusetts","2020","100","0","0","30"
"Michigan","2020","100","0","0","19"
"Minnesota","2020","100","0","0","16"
"Mississippi","2020","100","0","0","1"
"Missouri","2020","100","0","0","22"
"Montana","2020","100","0","0","15"
"Nebraska","2020","100","0","0","13"
"Nevada","2020","50","0","50","6"
"New Hampshire","2020","100","0","0","3"
"New Jersey","2020","100","0","0","9"
"New Mexico","2020","100","0","0","11"
"New York","2020","82.6","17.4","0","46"
"North Carolina","2020","96.7","3.3","0","30"
"North Dakota","2020","100","0","0","4"
"Ohio","2020","94.6","2.7","2.7","37"
"Oklahoma","2020","100","0","0","25"
"Oregon","2020","100","0","0","5"
"Pennsylvania","2020","100","0","0","23"
"Puerto Rico","2020","100","0","0","1"
"Rhode Island","2020","100","0","0","3"
"South Carolina","2020","100","0","0","6"
"South Dakota","2020","0","0","0","0"
"Tennessee","2020","66.7","33.3","0","12"
"Texas","2020","96.3","3.8","0","80"
"Utah","2020","66.7","0","33.3","3"
"Vermont","2020","0","0","0","0"
"Virginia","2020","93.5","2.2","4.3","46"
"Washington","2020","100","0","0","16"
"West Virginia","2020","100","0","0","27"
"Wisconsin","2020","93.3","6.7","0","15"
"Wyoming","2020","100","0","0","5"
