"State","Year","Monthly Caseworker Visits (MCVs) (%)","Number of Caseworker Visits","Number of Visit Months","Visits in Home (%)","Number of Home Visits","Number of Caseworker Visits"
"Alabama","2020","97","54695","56451","100","54500","54695"
"Alaska","2020","71","24251","33970","75","18224","24251"
"Arizona","2020","96","144339","150506","86","123992","144339"
"Arkansas","2020","88","41008","46632","96","39314","41008"
"California","2020","94","513096","547259","88","449544","513096"
"Colorado","2020","94","44373","47211","75","33501","44373"
"Connecticut","2020","94","38316","40573","57","21653","38316"
"Delaware","2020","95","5460","5765","83","4524","5460"
"District of Columbia","2020","95","6830","7158","97","6623","6830"
"Florida","2020","96","249319","259803","98","243434","249319"
"Georgia","2020","97","3107","3207","73","2277","3107"
"Hawaii","2020","82","15033","18405","63","9462","15033"
"Idaho","2020","95","16627","17470","68","11356","16627"
"Illinois","2020","90","182186","202579","97","176442","182186"
"Indiana","2020","99","154274","155745","98","151461","154274"
"Iowa","2020","90","52527","58540","82","42994","52527"
"Kansas","2020","91","78149","86203","84","65958","78149"
"Kentucky","2020","93","99395","106927","97","96223","99395"
"Louisiana","2020","97","42516","43854","97","41451","42516"
"Maine","2020","94","23747","25271","89","21170","23747"
"Maryland","2020","97","42190","43309","89","37341","42190"
"Massachusetts","2020","90","99589","110470","87","86818","99589"
"Michigan","2020","97","125415","128930","81","101094","125415"
"Minnesota","2020","83","76351","91959","87","66638","76351"
"Mississippi","2020","97","44635","46116","95","42457","44635"
"Missouri","2020","97","146841","151399","96","141174","146841"
"Montana","2020","59","23497","40070","83","19525","23497"
"Nebraska","2020","97","36339","37488","92","33426","36339"
"Nevada","2020","94","47946","51112","92","44327","47946"
"New Hampshire","2020","94","13421","14233","97","12964","13421"
"New Jersey","2020","95","44471","46689","97","43155","44471"
"New Mexico","2020","96","23663","24696","98","23256","23663"
"New York","2020","96","167479","174217","89","149246","167479"
"North Carolina","2020","96","117654","121923","91","106689","117654"
"North Dakota","2020","87","15558","17785","79","12309","15558"
"Ohio","2020","96","173766","181741","82","141673","173766"
"Oklahoma","2020","95","89064","93785","95","84581","89064"
"Oregon","2020","91","67156","73489","82","55229","67156"
"Pennsylvania","2020","97","3110","3220","99","3065","3110"
"Puerto Rico","2020","68","23479","34452","93","21923","23479"
"Rhode Island","2020","97","24841","25735","67","16571","24841"
"South Carolina","2020","97","47336","48944","64","30316","47336"
"South Dakota","2020","97","18684","19283","94","17543","18684"
"Tennessee","2020","97","93390","95909","82","76596","93390"
"Texas","2020","99","337878","342314","91","308415","337878"
"Utah","2020","97","25881","26735","100","25869","25881"
"Vermont","2020","95","12708","13433","74","9360","12708"
"Virginia","2020","97","52586","53977","82","42938","52586"
"Washington","2020","95","105251","111351","92","96933","105251"
"West Virginia","2020","93","76023","81662","78","59057","76023"
"Wisconsin","2020","97","83655","86236","82","68885","83655"
"Wyoming","2020","95","9764","10252","73","7166","9764"
